root,arabic,count,n_lemmas,top_lemmas,pos_distribution,cluster_id,cluster_name,n_surahs,meccan_share,top_co_roots,is_bridge,n_neighbor_clusters,notable
*bH,ذبح,9,3,*ubiHa (ذُبِحَ) x5; yu*ab~iHu (يُذَبِّحُ) x3; *iboH (ذِبْح) x1,"V: 89%, N: 11%",5,The Commanded Self,6,0.556,bny (بني) x4; Alh (اله) x4; qwl (قول) x4; E*b (عذب) x3; EZm (عظم) x3,True,10,high inter-cluster connectivity (10 clusters); in named cluster: The Commanded Self
nsw,نسو,59,1,nisaA^' (نِسَا^ء) x59,N: 100%,5,The Commanded Self,16,0.153,Alh (اله) x37; kwn (كون) x20; qwl (قول) x18; Elm (علم) x17; bny (بني) x13,True,39,noun-only; high inter-cluster connectivity (39 clusters); in named cluster: The Commanded Self
blw,بلو,38,5,balawo (بَلَوْ) x20; {botalaY`^ (ٱبْتَلَىٰ^) x8; balaA^' (بَلَا^ء) x6,"V: 79%, N: 21%",5,The Commanded Self,25,0.553,Alh (اله) x11; qwl (قول) x9; rbb (ربب) x8; kwn (كون) x8; nfs (نفس) x6,True,24,high inter-cluster connectivity (24 clusters); in named cluster: The Commanded Self
frq,فرق,72,14,fariyq (فَرِيق) x33; far~aqu (فَرَّقُ) x9; tafar~aqa (تَفَرَّقَ) x8,"N: 68%, V: 32%",4,"Revelation, Speech & Disbelief",30,0.417,Alh (اله) x31; Amn (امن) x20; byn (بين) x20; kwn (كون) x16; qwl (قول) x15,True,30,"high inter-cluster connectivity (30 clusters); in named cluster: Revelation, Speech & Disbelief"
bHr,بحر,42,2,baHor (بَحْر) x41; baHiyrap (بَحِيرَة) x1,N: 100%,7,Sea-Rescue / Bounty / Gratitude,25,0.81,Alh (اله) x14; flk (فلك) x9; brr (برر) x9; jry (جري) x8; kwn (كون) x8,True,23,noun-only; high inter-cluster connectivity (23 clusters); in named cluster: Sea-Rescue / Bounty / Gratitude
grq,غرق,23,4,>ugoriqu (أُغْرِقُ) x17; m~ugoraquwn (مُّغْرَقُون) x4; garaq (غَرَق) x1,"V: 74%, N: 26%",7,Sea-Rescue / Bounty / Gratitude,18,0.913,kwn (كون) x7; Ayy (ايي) x6; k*b (كذب) x6; Zlm (ظلم) x5; flk (فلك) x4,True,12,high Meccan concentration; high inter-cluster connectivity (12 clusters); in named cluster: Sea-Rescue / Bounty / Gratitude
nZr,نظر,129,10,n~aZara (نَّظَرَ) x87; yunZaru (يُنظَرُ) x12; yantaZiru (يَنتَظِرُ) x8,"V: 83%, N: 17%",4,"Revelation, Speech & Disbelief",48,0.767,kwn (كون) x41; qwl (قول) x40; kyf (كيف) x36; Alh (اله) x30; Eqb (عقب) x21,True,47,"high inter-cluster connectivity (47 clusters); in named cluster: Revelation, Speech & Disbelief"
wEd,وعد,151,10,waEada (وَعَدَ) x70; waEod (وَعْد) x49; m~awoEid (مَّوْعِد) x12,"V: 50%, N: 49%",4,"Revelation, Speech & Disbelief",51,0.768,Alh (اله) x50; qwl (قول) x44; kwn (كون) x39; rbb (ربب) x25; Hqq (حقق) x23,True,49,"high inter-cluster connectivity (49 clusters); in named cluster: Revelation, Speech & Disbelief"
rbE,ربع,22,5,>arobaEap (أَرْبَعَة) x9; >arobaE (أَرْبَع) x7; ruba`E (رُبَٰع) x2,"N: 95%, T: 5%",19,Household Law & Lineage,11,0.227,Alh (اله) x13; vlv (ثلث) x7; Elm (علم) x6; $hr (شهر) x5; kll (كلل) x5,True,20,high inter-cluster connectivity (20 clusters); in named cluster: Household Law & Lineage
lyl,ليل,92,2,layol (لَيْل) x84; layolap (لَيْلَة) x8,"N: 97%, T: 3%",24,,49,0.804,nhr (نهر) x42; qwm (قوم) x22; Alh (اله) x17; Ayy (ايي) x17; jEl (جعل) x16,True,39,high inter-cluster connectivity (39 clusters)
Ejl,عجل,47,10,{sotaEojala (ٱسْتَعْجَلَ) x19; Eijol (عِجْل) x10; Eajila (عَجِلَ) x5,"V: 66%, N: 32%",128,,25,0.787,qwl (قول) x15; Alh (اله) x11; Ax* (اخذ) x10; Zlm (ظلم) x9; rbb (ربب) x9,True,22,high inter-cluster connectivity (22 clusters)
Efw,عفو,35,4,EafaA (عَفَا) x27; Eafuw~ (عَفُوّ) x5; Eafow (عَفْو) x2,"V: 77%, N: 23%",125,,11,0.171,Alh (اله) x23; gfr (غفر) x10; Amn (امن) x8; kwn (كون) x8; byn (بين) x7,True,26,high inter-cluster connectivity (26 clusters)
$kr,شكر,75,6,$akara (شَكَرَ) x46; $aAkir (شَاكِر) x14; $akuwr (شَكُور) x10,"V: 61%, N: 27%",7,Sea-Rescue / Bounty / Gratitude,35,0.733,Alh (اله) x30; kwn (كون) x17; jEl (جعل) x13; fDl (فضل) x12; rbb (ربب) x12,True,39,high inter-cluster connectivity (39 clusters); in named cluster: Sea-Rescue / Bounty / Gratitude
brA,برا,31,10,bariY^' (بَرِى^ء) x12; tabar~a>a (تَبَرَّأَ) x5; baAri} (بَارِئ) x3,"N: 61%, V: 32%",209,,20,0.355,qwl (قول) x16; Alh (اله) x14; kwn (كون) x6; rbb (ربب) x6; kfr (كفر) x6,True,17,high inter-cluster connectivity (17 clusters)
qtl,قتل,170,8,qatala (قَتَلَ) x83; qa`tala (قَٰتَلَ) x54; qitaAl (قِتَال) x13,"V: 85%, N: 15%",66,Jihād fī Sabīl Allāh,33,0.218,Alh (اله) x79; qwl (قول) x40; Amn (امن) x31; kwn (كون) x29; kfr (كفر) x28,True,64,high inter-cluster connectivity (64 clusters); in named cluster: Jihād fī Sabīl Allāh
xyr,خير,196,5,xayor (خَيْر) x178; xayora`t (خَيْرَٰت) x10; {xotaAra (ٱخْتَارَ) x4,"N: 82%, ADJ: 15%",5,The Commanded Self,55,0.526,Alh (اله) x99; qwl (قول) x50; kwn (كون) x47; Amn (امن) x41; rbb (ربب) x38,True,64,high inter-cluster connectivity (64 clusters); in named cluster: The Commanded Self
End,عند,201,2,Eind (عِند) x197; Eaniyd (عَنِيد) x4,"LOC: 80%, N: 19%",0,The Believers' Reward,62,0.542,Alh (اله) x112; qwl (قول) x71; rbb (ربب) x62; Elm (علم) x44; kwn (كون) x41,True,66,high inter-cluster connectivity (66 clusters); in named cluster: The Believers' Reward
rAy,راي,328,8,ra'aA (رَءَا) x271; >arayo (أَرَيْ) x40; r~u'oyaA (رُّءْيَا) x7,"V: 96%, N: 4%",75,Witnessing the Visible Sign,72,0.738,Alh (اله) x121; qwl (قول) x113; kwn (كون) x57; rbb (ربب) x41; qwm (قوم) x41,True,102,high inter-cluster connectivity (102 clusters); in named cluster: Witnessing the Visible Sign
jhr,جهر,16,4,jahor (جَهْر) x7; jahara (جَهَرَ) x5; jahorap (جَهْرَة) x3,"N: 69%, V: 31%",130,,13,0.625,qwl (قول) x11; Alh (اله) x8; Elm (علم) x7; srr (سرر) x5; rAy (راي) x3,True,10,high inter-cluster connectivity (10 clusters)
bEv,بعث,67,5,baEava (بَعَثَ) x52; m~aboEuwvuwn (مَّبْعُوثُون) x9; baEov (بَعْث) x4,"V: 79%, N: 21%",4,"Revelation, Speech & Disbelief",33,0.731,qwl (قول) x25; Alh (اله) x23; kwn (كون) x22; ywm (يوم) x18; Elm (علم) x14,True,27,"high inter-cluster connectivity (27 clusters); in named cluster: Revelation, Speech & Disbelief"
Zll,ظلل,33,5,Zil~ (ظِلّ) x14; Zal~a (ظَلَّ) x9; Zul~ap (ظُلَّة) x6,"N: 61%, V: 33%",239,,20,0.788,Alh (اله) x7; wqy (وقي) x5; $yA (شيا) x5; nzl (نزل) x4; Akl (اكل) x3,True,26,high inter-cluster connectivity (26 clusters)
gmm,غمم,11,3,gam~ (غَمّ) x6; gama`m (غَمَٰم) x4; gum~ap (غُمَّة) x1,N: 100%,239,,8,0.455,kwn (كون) x4; nfs (نفس) x4; nzl (نزل) x4; Alh (اله) x4; Zll (ظلل) x3,True,12,noun-only; high inter-cluster connectivity (12 clusters)
mnn,منن,27,4,man~a (مَنَّ) x16; man~ (مَنّ) x6; mamonuwn (مَمْنُون) x4,"V: 59%, N: 41%",239,,20,0.667,Alh (اله) x11; Amn (امن) x8; kwn (كون) x7; qwl (قول) x7; Ajr (اجر) x6,True,14,high inter-cluster connectivity (14 clusters)
slw,سلو,3,1,s~alowaY` (سَّلْوَىٰ) x3,N: 100%,239,,3,0.667,mnn (منن) x3; nzl (نزل) x3; Akl (اكل) x2; Tyb (طيب) x2; Zll (ظلل) x2,True,6,noun-only; rare (3 occ.); bridge (6 clusters)
Tyb,طيب,50,5,Tay~iba`t (طَيِّبَٰت) x21; Tay~ib (طَيِّب) x16; Tay~ibap (طَيِّبَة) x9,"N: 60%, ADJ: 34%",17,Bodily Purity & Prayer,23,0.42,Alh (اله) x21; kwn (كون) x16; rzq (رزق) x15; Akl (اكل) x14; Amn (امن) x14,True,29,high inter-cluster connectivity (29 clusters); in named cluster: Bodily Purity & Prayer
dxl,دخل,126,6,daxala (دَخَلَ) x76; >udoxila (أُدْخِلَ) x42; m~udoxal (مُّدْخَل) x3,"V: 94%, N: 6%",0,The Believers' Reward,45,0.484,Alh (اله) x48; jnn (جنن) x41; qwl (قول) x39; Amn (امن) x34; Eml (عمل) x20,True,46,high inter-cluster connectivity (46 clusters); in named cluster: The Believers' Reward
qry,قري,57,1,qaroyap (قَرْيَة) x57,N: 100%,4,"Revelation, Speech & Disbelief",26,0.825,kwn (كون) x21; hlk (هلك) x16; qwl (قول) x14; Ahl (اهل) x14; Zlm (ظلم) x10,True,29,"noun-only; high inter-cluster connectivity (29 clusters); in named cluster: Revelation, Speech & Disbelief"
bwb,بوب,27,1,baAb (بَاب) x27,N: 100%,162,,17,0.778,qwl (قول) x12; dxl (دخل) x11; ftH (فتح) x9; $yA (شيا) x4; Alh (اله) x4,True,18,noun-only; high inter-cluster connectivity (18 clusters)
HTT,حطط,2,1,HiT~ap (حِطَّة) x2,N: 100%,162,,2,0.5,$yA (شيا) x2; Akl (اكل) x2; Hsn (حسن) x2; Hyv (حيث) x2; bwb (بوب) x2,True,7,noun-only; rare (2 occ.); bridge (7 clusters)
gfr,غفر,234,9,gafuwr (غَفُور) x91; gafara (غَفَرَ) x65; {sotagofara (ٱسْتَغْفَرَ) x40,"V: 45%, N: 41%",90,Sin–Mercy Economy,56,0.423,Alh (اله) x120; rHm (رحم) x91; rbb (ربب) x62; qwl (قول) x51; Amn (امن) x50,True,60,high inter-cluster connectivity (60 clusters); in named cluster: Sin–Mercy Economy
xTA,خطا,22,7,xaTiy^_#ap (خَطِي^ـ#َة) x8; xa`Ti_#iyn (خَٰطِـ#ِين) x5; >axoTa>o (أَخْطَأْ) x2,"N: 86%, V: 9%",162,,13,0.682,gfr (غفر) x9; kwn (كون) x8; Alh (اله) x6; qwl (قول) x5; Amn (امن) x4,True,15,high inter-cluster connectivity (15 clusters)
Hsn,حسن,194,12,muHosin (مُحْسِن) x38; >aHosan (أَحْسَن) x36; Hasanap (حَسَنَة) x28,"N: 71%, ADJ: 16%",0,The Believers' Reward,50,0.624,Alh (اله) x86; qwl (قول) x41; kwn (كون) x36; Eml (عمل) x31; rbb (ربب) x29,True,68,high inter-cluster connectivity (68 clusters); in named cluster: The Believers' Reward
bdl,بدل,44,8,bad~ala (بَدَّلَ) x23; tabodiyl (تَبْدِيل) x7; yasotabodilo (يَسْتَبْدِلْ) x3,"V: 73%, N: 25%",4,"Revelation, Speech & Disbelief",25,0.523,Alh (اله) x20; kwn (كون) x14; qwl (قول) x10; rbb (ربب) x9; gyr (غير) x8,True,24,"high inter-cluster connectivity (24 clusters); in named cluster: Revelation, Speech & Disbelief"
rjz,رجز,10,2,rijoz (رِجْز) x9; r~ujoz (رُّجْز) x1,N: 100%,4,"Revelation, Speech & Disbelief",7,0.8,smw (سمو) x4; kwn (كون) x3; nzl (نزل) x3; qwl (قول) x3; Zlm (ظلم) x2,True,6,"noun-only; bridge (6 clusters); in named cluster: Revelation, Speech & Disbelief"
sqy,سقي,25,5,saqaY` (سَقَىٰ) x12; >asoqayo (أَسْقَيْ) x8; {sotasoqaY` (ٱسْتَسْقَىٰ) x2,"V: 88%, N: 12%",120,,19,0.72,mwh (موه) x7; qwl (قول) x6; qwm (قوم) x6; $rb (شرب) x5; Akl (اكل) x5,True,21,high inter-cluster connectivity (21 clusters)
ESw,عصو,12,2,EaSaA2 (عَصَا2) x10; EiSiy~ (عِصِيّ) x2,N: 100%,73,,6,0.917,lqy (لقي) x8; qwl (قول) x4; Drb (ضرب) x3; kll (كلل) x3; wHy (وحي) x3,True,15,noun-only; high Meccan concentration; high inter-cluster connectivity (15 clusters)
fjr,فجر,24,9,fajor (فَجْر) x6; fuj~irato (فُجِّرَتْ) x6; fuj~aAr (فُجَّار) x4,"N: 54%, V: 42%",11,Vegetative Signs / Reflective Gaze,16,0.75,Alh (اله) x5; ArD (ارض) x4; Eyn (عين) x4; $rb (شرب) x3; Akl (اكل) x3,True,17,high inter-cluster connectivity (17 clusters); in named cluster: Vegetative Signs / Reflective Gaze
vny,ثني,29,7,{vonayon (ٱثْنَيْن) x13; {vonatayon (ٱثْنَتَيْن) x7; mavonaY` (مَثْنَىٰ) x3,"N: 93%, V: 7%",19,Household Law & Lineage,18,0.621,Alh (اله) x13; qwl (قول) x12; Elm (علم) x8; kll (كلل) x8; qwm (قوم) x8,True,30,high inter-cluster connectivity (30 clusters); in named cluster: Household Law & Lineage
E$r,عشر,27,11,Ea$or (عَشْر) x7; Ea$ar (عَشَر) x4; Ea$orap (عَشْرَة) x3,"N: 89%, V: 4%",19,Household Law & Lineage,19,0.556,Alh (اله) x12; qwl (قول) x9; qwm (قوم) x8; kwn (كون) x8; ywm (يوم) x6,True,27,high inter-cluster connectivity (27 clusters); in named cluster: Household Law & Lineage
Eyn,عين,65,3,Eayon (عَيْن) x57; m~aEiyn (مَّعِين) x4; Eiyn (عِين) x4,"N: 97%, ADJ: 3%",153,,37,0.785,qwl (قول) x15; jnn (جنن) x10; Alh (اله) x9; kwn (كون) x9; qrr (قرر) x8,True,42,high inter-cluster connectivity (42 clusters)
Ans,انس,97,6,<insa`n (إِنسَٰن) x71; <ins (إِنس) x18; 'aAnasa (ءَانَسَ) x5,"N: 94%, V: 6%",34,,52,0.825,qwl (قول) x27; kwn (كون) x24; xlq (خلق) x19; jnn (جنن) x17; rbb (ربب) x12,True,45,high inter-cluster connectivity (45 clusters)
$rb,شرب,39,7,$ariba (شَرِبَ) x15; $araAb (شَرَاب) x11; $~a`ribiyn (شَّٰرِبِين) x5,"N: 59%, V: 41%",31,,22,0.718,Akl (اكل) x11; kll (كلل) x9; qwl (قول) x8; kwn (كون) x8; Alh (اله) x7,True,29,high inter-cluster connectivity (29 clusters)
Evw,عثو,5,1,taEova (تَعْثَ) x5,V: 100%,147,,5,0.8,ArD (ارض) x5; fsd (فسد) x5; Alh (اله) x3; qwm (قوم) x3; qwl (قول) x2,True,5,verb-only; rare (5 occ.); bridge (5 clusters)
TEm,طعم,48,7,TaEaAm (طَعَام) x24; >aToEama (أَطْعَمَ) x13; TaEimu (طَعِمُ) x5,"N: 60%, V: 40%",157,,26,0.542,Alh (اله) x17; kwn (كون) x12; qwl (قول) x12; skn (سكن) x10; Amn (امن) x9,True,29,high inter-cluster connectivity (29 clusters)
wHd,وحد,68,4,wa`Hidap (وَٰحِدَة) x31; wa`Hid (وَٰحِد) x30; waHod (وَحْد) x6,"N: 51%, ADJ: 49%",19,Household Law & Lineage,35,0.721,Alh (اله) x43; kwn (كون) x21; qwl (قول) x21; rbb (ربب) x14; $yA (شيا) x12,True,32,high inter-cluster connectivity (32 clusters); in named cluster: Household Law & Lineage
nbt,نبت,26,3,>an[bata (أَن[بَتَ) x16; nabaAt (نَبَات) x9; tan[butu (تَن[بُتُ) x1,"V: 65%, N: 35%",11,Vegetative Signs / Reflective Gaze,21,0.769,ArD (ارض) x12; kll (كلل) x11; mwh (موه) x8; nzl (نزل) x8; smw (سمو) x8,True,21,high inter-cluster connectivity (21 clusters); in named cluster: Vegetative Signs / Reflective Gaze
bql,بقل,1,1,baqol (بَقْل) x1,N: 100%,256,,1,0.0,,False,0,noun-only; single occurrence; confined to 1 surah
qvA,قثا,1,1,qiv~aA^} (قِثَّا^ئ) x1,N: 100%,518,,1,0.0,,False,0,noun-only; single occurrence; confined to 1 surah
fwm,فوم,1,1,fuwm (فُوم) x1,N: 100%,316,,1,0.0,,False,0,noun-only; single occurrence; confined to 1 surah
Eds,عدس,1,1,Eadas (عَدَس) x1,N: 100%,123,,1,0.0,,False,0,noun-only; single occurrence; confined to 1 surah
bSl,بصل,1,1,baSal (بَصَل) x1,N: 100%,245,,1,0.0,,False,0,noun-only; single occurrence; confined to 1 surah
dnw,دنو,133,5,d~unoyaA (دُّنْيَا) x115; >adonaY` (أَدْنَىٰ) x12; daAniyap (دَانِيَة) x3,"ADJ: 57%, N: 41%",96,Dunya vs. Ākhirah,46,0.541,Hyy (حيي) x66; Alh (اله) x63; Axr (اخر) x57; kwn (كون) x34; qwl (قول) x28,True,57,high inter-cluster connectivity (57 clusters); in named cluster: Dunya vs. Ākhirah
mSr,مصر,5,1,miSor (مِصْر) x5,"PN: 80%, N: 20%",86,,4,0.8,qwl (قول) x4; Alh (اله) x3; ArD (ارض) x2; bwA (بوا) x2; Amn (امن) x2,True,5,rare (5 occ.); bridge (5 clusters)
sAl,سال,129,6,sa>ala (سَأَلَ) x106; yatasaA^'alu (يَتَسَا^ءَلُ) x9; saA^}il (سَا^ئِل) x7,"V: 89%, N: 11%",4,"Revelation, Speech & Disbelief",47,0.69,qwl (قول) x40; Alh (اله) x37; kwn (كون) x27; Elm (علم) x27; rbb (ربب) x20,True,44,"high inter-cluster connectivity (44 clusters); in named cluster: Revelation, Speech & Disbelief"
*ll,ذلل,24,10,*il~ap (ذِلَّة) x7; >a*il~ap (أَذِلَّة) x4; *~ul~ (ذُّلّ) x3,"N: 71%, V: 17%",54,,17,0.583,Alh (اله) x9; qwl (قول) x9; kwn (كون) x5; rbb (ربب) x5; Ayy (ايي) x4,True,22,high inter-cluster connectivity (22 clusters)
bwA,بوا,17,4,baA^'a (بَا^ءَ) x6; baw~a>a (بَوَّأَ) x6; yatabaw~a>u (يَتَبَوَّأُ) x4,"V: 94%, N: 6%",86,,12,0.471,Alh (اله) x9; kwn (كون) x7; ArD (ارض) x4; gDb (غضب) x4; qtl (قتل) x4,True,19,high inter-cluster connectivity (19 clusters)
ESy,عصي,32,4,EaSaA (عَصَا) x27; EaSiy~ (عَصِيّ) x2; maEoSiyat (مَعْصِيَت) x2,"V: 84%, N: 12%",90,Sin–Mercy Economy,23,0.562,Alh (اله) x15; kwn (كون) x11; qwl (قول) x11; rbb (ربب) x10; rsl (رسل) x10,True,27,high inter-cluster connectivity (27 clusters); in named cluster: Sin–Mercy Economy
hwd,هود,21,3,haAdu (هَادُ) x11; huwd (هُود) x7; huwd2 (هُود2) x3,"V: 52%, PN: 48%",202,,10,0.476,Alh (اله) x12; qwl (قول) x11; Amn (امن) x8; kwn (كون) x7; qwm (قوم) x7,True,17,high inter-cluster connectivity (17 clusters)
SbA,صبا,3,1,S~a`bi_#iyn (صَّٰبِـ#ِين) x3,PN: 100%,202,,3,0.0,Alh (اله) x3; Amn (امن) x3; hwd (هود) x3; nSr (نصر) x3; ywm (يوم) x3,True,5,proper-noun-only; rare (3 occ.); bridge (5 clusters)
Ajr,اجر,108,3,>ajor (أَجْر) x105; {sota_#ojaro (ٱسْتَـ#ْجَرْ) x2; ta>ojura (تَأْجُرَ) x1,"N: 97%, V: 3%",0,The Believers' Reward,39,0.556,Alh (اله) x54; Amn (امن) x36; SlH (صلح) x25; Eml (عمل) x24; Aty (اتي) x23,True,45,high inter-cluster connectivity (45 clusters); in named cluster: The Believers' Reward
rfE,رفع,29,6,rafaEa (رَفَعَ) x22; m~arofuwEap (مَّرْفُوعَة) x3; raAfiE (رَافِع) x1,"V: 76%, N: 14%",236,,21,0.586,fwq (فوق) x8; Alh (اله) x8; drj (درج) x7; Aty (اتي) x6; kwn (كون) x6,True,23,high inter-cluster connectivity (23 clusters)
Twr,طور,11,2,Tuwr (طُور) x10; >aTowaAr (أَطْوَار) x1,N: 100%,236,,9,0.727,Aty (اتي) x4; jnb (جنب) x4; Ax* (اخذ) x3; fwq (فوق) x3; rfE (رفع) x3,True,10,noun-only; high inter-cluster connectivity (10 clusters)
qwy,قوي,42,3,quw~ap (قُوَّة) x30; qawiY~ (قَوِىّ) x11; muqowiyn (مُقْوِين) x1,"N: 95%, ADJ: 5%",4,"Revelation, Speech & Disbelief",25,0.714,Alh (اله) x20; $dd (شدد) x15; kwn (كون) x11; qwl (قول) x11; Ax* (اخذ) x10,True,19,"high inter-cluster connectivity (19 clusters); in named cluster: Revelation, Speech & Disbelief"
wly,ولي,232,12,waliY~ (وَلِىّ) x86; tawal~aY` (تَوَلَّىٰ) x78; wal~aY` (وَلَّىٰ) x30,"N: 52%, V: 47%",8,Allegiance & the Object of Worship,55,0.431,Alh (اله) x124; kwn (كون) x41; qwl (قول) x39; Amn (امن) x38; dwn (دون) x35,True,63,high inter-cluster connectivity (63 clusters); in named cluster: Allegiance & the Object of Worship
sbt,سبت,9,3,s~abot (سَّبْت) x6; subaAt (سُبَات) x2; yasobitu (يَسْبِتُ) x1,"N: 89%, V: 11%",486,,6,0.667,kwn (كون) x4; Edw (عدو) x3; jEl (جعل) x3; qwl (قول) x2; Aty (اتي) x2,True,5,bridge (5 clusters)
qrd,قرد,3,1,qiradap (قِرَدَة) x3,N: 100%,515,,3,0.333,kwn (كون) x3; qwl (قول) x3; xsA (خسا) x2,False,2,noun-only; rare (3 occ.)
xsA,خسا,4,2,xaAsi} (خَاسِئ) x3; {xosa_#u (ٱخْسَـ#ُ) x1,"ADJ: 50%, V: 25%",515,,4,0.75,qwl (قول) x3; kwn (كون) x2; qrd (قرد) x2,False,2,rare (4 occ.)
nkl,نكل,5,3,naka`l (نَكَٰل) x3; tankiyl (تَنكِيل) x1; >ankaAl (أَنكَال) x1,N: 100%,17,Bodily Purity & Prayer,5,0.4,Alh (اله) x3; ydy (يدي) x2,False,2,noun-only; rare (5 occ.); in named cluster: Bodily Purity & Prayer
byn,بين,523,13,bayon (بَيْن) x266; m~ubiyn (مُّبِين) x119; bay~inap (بَيِّنَة) x71,"LOC: 46%, N: 30%",4,"Revelation, Speech & Disbelief",71,0.581,Alh (اله) x207; qwl (قول) x137; kwn (كون) x113; Elm (علم) x82; Amn (امن) x79,True,93,"high inter-cluster connectivity (93 clusters); in named cluster: Revelation, Speech & Disbelief"
ydy,يدي,120,1,yad (يَد) x120,N: 100%,17,Bodily Purity & Prayer,47,0.492,Alh (اله) x53; byn (بين) x44; qwl (قول) x33; Amn (امن) x23; kwn (كون) x22,True,56,noun-only; high inter-cluster connectivity (56 clusters); in named cluster: Bodily Purity & Prayer
wEZ,وعظ,25,3,waEaZo (وَعَظْ) x15; m~awoEiZap (مَّوْعِظَة) x9; wa`EiZiyn (وَٰعِظِين) x1,"V: 60%, N: 40%",5,The Commanded Self,14,0.44,Alh (اله) x13; kwn (كون) x8; qwl (قول) x8; byn (بين) x7; wqy (وقي) x7,True,18,high inter-cluster connectivity (18 clusters); in named cluster: The Commanded Self
bqr,بقر,9,3,baqarap (بَقَرَة) x4; baqar (بَقَر) x3; baqara`t (بَقَرَٰت) x2,N: 100%,46,,3,0.444,qwl (قول) x7; Alh (اله) x3; kwn (كون) x3; byn (بين) x3; dEw (دعو) x3,True,6,noun-only; bridge (6 clusters)
Ew*,عوذ,17,4,Eu*o (عُذْ) x10; {sotaEi*o (ٱسْتَعِذْ) x4; maEaA* (مَعَاذ) x2,"V: 88%, N: 12%",9,,14,0.882,qwl (قول) x10; rbb (ربب) x9; Alh (اله) x8; $Tn (شطن) x5; kwn (كون) x4,True,7,high Meccan concentration; bridge (7 clusters)
jhl,جهل,24,6,jaAhil (جَاهِل) x10; yajohalu (يَجْهَلُ) x5; jaha`lap (جَهَٰلَة) x4,"N: 62%, V: 21%",4,"Revelation, Speech & Disbelief",17,0.625,Alh (اله) x13; qwl (قول) x11; kwn (كون) x9; qwm (قوم) x8; Elm (علم) x7,True,15,"high inter-cluster connectivity (15 clusters); in named cluster: Revelation, Speech & Disbelief"
frD,فرض,18,4,faraDa (فَرَضَ) x9; fariyDap (فَرِيضَة) x6; m~aforuwD (مَّفْرُوض) x2,"V: 50%, N: 33%",5,The Commanded Self,7,0.056,Alh (اله) x9; Elm (علم) x7; byn (بين) x4; nsw (نسو) x4; Hkm (حكم) x4,True,13,high Medinan concentration; high inter-cluster connectivity (13 clusters); in named cluster: The Commanded Self
bkr,بكر,12,3,bukorap (بُكْرَة) x7; bikor (بِكْر) x3; <iboka`r (إِبْكَٰر) x2,"T: 50%, N: 33%",67,,11,0.5,rbb (ربب) x5; sbH (سبح) x5; E$w (عشو) x4; ASl (اصل) x4; qwl (قول) x3,True,6,bridge (6 clusters)
lwn,لون,9,1,lawon (لَوْن) x9,N: 100%,164,,5,0.778,xlf (خلف) x6; ArD (ارض) x3; Ayy (ايي) x3; xrj (خرج) x3; smw (سمو) x3,True,8,noun-only; bridge (8 clusters)
Sfr,صفر,5,3,muSofar~ (مُصْفَرّ) x3; SaforaA^' (صَفْرَا^ء) x1; Sufor (صُفْر) x1,"N: 60%, ADJ: 40%",164,,5,0.6,rAy (راي) x3; byn (بين) x2; lwn (لون) x2; kfr (كفر) x2; Alh (اله) x2,True,5,rare (5 occ.); bridge (5 clusters)
fqE,فقع,1,1,faAqiE (فَاقِع) x1,ADJ: 100%,305,,1,0.0,,False,0,single occurrence; confined to 1 surah
srr,سرر,44,9,>asar~a (أَسَرَّ) x18; sir~ (سِرّ) x11; surur (سُرُر) x6,"N: 57%, V: 43%",130,,33,0.682,Alh (اله) x18; Elm (علم) x18; qwl (قول) x15; Eln (علن) x12; nfq (نفق) x6,True,29,high inter-cluster connectivity (29 clusters)
vwr,ثور,5,1,>avaAru (أَثَارُ) x5,V: 100%,75,Witnessing the Visible Sign,4,0.8,ArD (ارض) x3; Alh (اله) x3; rsl (رسل) x3; jyA (جيا) x2; kyf (كيف) x2,True,5,verb-only; rare (5 occ.); bridge (5 clusters); in named cluster: Witnessing the Visible Sign
Hrv,حرث,14,2,Harov (حَرْث) x13; taHoruvu (تَحْرُثُ) x1,"N: 93%, V: 7%",8,Allegiance & the Object of Worship,7,0.571,Alh (اله) x6; kwn (كون) x5; qwl (قول) x3; dnw (دنو) x3; nEm (نعم) x3,True,9,bridge (9 clusters); in named cluster: Allegiance & the Object of Worship
slm,سلم,140,16,sala`m (سَلَٰم) x42; musolim (مُسْلِم) x39; >asolama (أَسْلَمَ) x22,"N: 60%, V: 20%",4,"Revelation, Speech & Disbelief",48,0.593,Alh (اله) x57; qwl (قول) x45; Amn (امن) x31; rbb (ربب) x30; kwn (كون) x25,True,47,"high inter-cluster connectivity (47 clusters); in named cluster: Revelation, Speech & Disbelief"
w$y,وشي,1,1,$iyap (شِيَة) x1,N: 100%,602,,1,0.0,,False,0,noun-only; single occurrence; confined to 1 surah
jyA,جيا,278,1,jaA^'a (جَا^ءَ) x278,V: 100%,4,"Revelation, Speech & Disbelief",62,0.748,qwl (قول) x118; Alh (اله) x97; kwn (كون) x73; byn (بين) x65; rsl (رسل) x62,True,79,"verb-only; high inter-cluster connectivity (79 clusters); in named cluster: Revelation, Speech & Disbelief"
