root,arabic,count,n_lemmas,top_lemmas,pos_distribution,cluster_id,cluster_name,n_surahs,meccan_share,top_co_roots,is_bridge,n_neighbor_clusters,notable
wbl,وبل,8,3,wabaAl (وَبَال) x4; waAbil (وَابِل) x3; wabiyl (وَبِيل) x1,"N: 88%, ADJ: 12%",62,The Prepared Fire,6,0.125,mvl (مثل) x4; *wq (ذوق) x4; Amr (امر) x4; Alh (اله) x3; kfr (كفر) x3,True,8,high Medinan concentration; bridge (8 clusters); in named cluster: The Prepared Fire
Sld,صلد,1,1,Salod (صَلْد) x1,N: 100%,213,,1,0.0,,False,0,noun-only; single occurrence; confined to 1 surah
rbw,ربو,20,8,r~ibaw`A (رِّبَوٰا) x7; rabato (رَبَتْ) x4; rabowap (رَبْوَة) x2,"N: 55%, V: 40%",73,,12,0.45,Alh (اله) x8; Akl (اكل) x4; nws (نوس) x4; DEf (ضعف) x3; mvl (مثل) x3,True,18,high inter-cluster connectivity (18 clusters)
Tll,طلل,1,1,Tal~ (طَلّ) x1,N: 100%,231,,1,0.0,,False,0,noun-only; single occurrence; confined to 1 surah
nxl,نخل,20,3,naxol (نَخْل) x11; n~axiyl (نَّخِيل) x7; n~axolap (نَّخْلَة) x2,N: 100%,11,Vegetative Signs / Reflective Gaze,16,0.8,Enb (عنب) x9; jnn (جنن) x8; Ayy (ايي) x5; vmr (ثمر) x5; qwm (قوم) x5,True,16,noun-only; high inter-cluster connectivity (16 clusters); in named cluster: Vegetative Signs / Reflective Gaze
Enb,عنب,11,1,Einab (عِنَب) x11,N: 100%,11,Vegetative Signs / Reflective Gaze,10,0.818,nxl (نخل) x9; jnn (جنن) x7; Ayy (ايي) x5; vmr (ثمر) x4; qwm (قوم) x4,True,10,noun-only; high inter-cluster connectivity (10 clusters); in named cluster: Vegetative Signs / Reflective Gaze
ESr,عصر,5,4,yaEoSiru (يَعْصِرُ) x2; <iEoSaAr (إِعْصَار) x1; muEoSira`t (مُعْصِرَٰت) x1,"N: 60%, V: 40%",17,Bodily Purity & Prayer,4,0.8,AHd (احد) x2,False,1,rare (5 occ.); in named cluster: Bodily Purity & Prayer
Hrq,حرق,9,3,Hariyq (حَرِيق) x5; Har~iqu (حَرِّقُ) x3; {Hotaraqato (ٱحْتَرَقَتْ) x1,"N: 56%, V: 44%",62,The Prepared Fire,8,0.444,Alh (اله) x6; E*b (عذب) x5; *wq (ذوق) x4; qwl (قول) x4; kwn (كون) x3,True,6,bridge (6 clusters); in named cluster: The Prepared Fire
ymm,يمم,11,2,yam~ (يَمّ) x8; tayam~amu (تَيَمَّمُ) x3,"N: 73%, V: 27%",17,Bodily Purity & Prayer,7,0.727,Alh (اله) x4; Ax* (اخذ) x4; kwn (كون) x4; Amn (امن) x3; Tyb (طيب) x3,True,10,high inter-cluster connectivity (10 clusters); in named cluster: Bodily Purity & Prayer
xbv,خبث,16,4,xabiyv (خَبِيث) x9; xabiyvap (خَبِيثَة) x4; xabiyva`t (خَبِيثَٰت) x2,"N: 94%, V: 6%",17,Bodily Purity & Prayer,9,0.312,Tyb (طيب) x8; Alh (اله) x4; kwn (كون) x4; Amn (امن) x3; ArD (ارض) x2,True,7,bridge (7 clusters); in named cluster: Bodily Purity & Prayer
gmD,غمض,1,1,tugomiDu (تُغْمِضُ) x1,V: 100%,326,,1,0.0,,False,0,verb-only; single occurrence; confined to 1 surah
fqr,فقر,14,3,faqiyr (فَقِير) x12; faqor (فَقْر) x1; faAqirap (فَاقِرَة) x1,"N: 86%, ADJ: 14%",82,,11,0.214,Alh (اله) x12; gny (غني) x7; Elm (علم) x5; kwn (كون) x4; fDl (فضل) x3,True,13,high inter-cluster connectivity (13 clusters)
xfy,خفي,34,8,>uxofiYa (أُخْفِىَ) x18; yaxofaY` (يَخْفَىٰ) x6; yasotaxofu (يَسْتَخْفُ) x3,"V: 79%, N: 15%",130,,21,0.559,Alh (اله) x17; Elm (علم) x13; bdw (بدو) x11; kwn (كون) x11; $yA (شيا) x10,True,24,high inter-cluster connectivity (24 clusters)
Eff,عفف,4,2,yasotaEofifo (يَسْتَعْفِفْ) x3; t~aEaf~uf (تَّعَفُّف) x1,"V: 75%, N: 25%",82,,3,0.0,Alh (اله) x4; Elm (علم) x3; gny (غني) x3; xyr (خير) x3; nkH (نكح) x3,True,6,rare (4 occ.); bridge (6 clusters)
lHf,لحف,1,1,<iloHaAf (إِلْحَاف) x1,N: 100%,412,,1,0.0,,False,0,noun-only; single occurrence; confined to 1 surah
xbT,خبط,1,1,yataxab~aTu (يَتَخَبَّطُ) x1,V: 100%,636,,1,0.0,,False,0,verb-only; single occurrence; confined to 1 surah
slf,سلف,8,3,salafa (سَلَفَ) x5; >asolafato (أَسْلَفَتْ) x2; salaf (سَلَف) x1,"V: 88%, N: 12%",174,,7,0.375,Alh (اله) x4; Ewd (عود) x3; Hrm (حرم) x3; mvl (مثل) x3; kwn (كون) x3,True,9,bridge (9 clusters)
